Report Date,PFI,Facility Name,Hospital County,Hospital Region,NY Forward Region,Hospital Network,Total Employees,Partially Vaccinated,Fully Vaccinated,Staff Booster,Total Staff Furloughed,Direct Care Staff Furloughed,Direct Care Employees
07/25/2023,000943,St Catherine of Siena Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,1575,0,1561,877,2,1,1024
07/25/2023,000971,Catskill Regional Medical Center,Sullivan,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,574,0,574,402,0,0,459
07/25/2023,001005,Glens Falls Hospital,Warren,Capital District Regional Office,Capital Region,Independent,2829,4,2815,2265,2,2,1868
07/25/2023,000581,Degraff Memorial Hospital,Niagara,Western Regional Office,Western New York,Kaleida Health,123,1,121,81,0,0,62
07/25/2023,000598,St Elizabeth Medical Center,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,1424,61,1332,610,1,0,916
07/25/2023,000490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,1010,0,1008,714,0,0,682
07/25/2023,000330,Nathan Littauer Hospital,Fulton,Capital District Regional Office,Mohawk Valley,Independent,1095,1,1082,562,5,4,706
07/25/2023,000146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Capital Region,Albany Medical Center,1619,0,1616,1231,2,1,1364
07/25/2023,000210,Erie County Medical Center,Erie,Western Regional Office,Western New York,Independent,3496,9,3469,2418,1,1,2320
07/25/2023,000042,United Health Services Hospitals Inc. - Binghamton General Hospital,Broome,Central New York Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",1871,6,1862,1165,7,5,1026
07/25/2023,000043,Our Lady of Lourdes Memorial Hospital Inc,Broome,Central New York Regional Office,Southern Tier,Ascension Health,3122,38,3070,2071,3,2,2578
07/25/2023,000798,Claxton-Hepburn Medical Center,St. Lawrence,Central New York Regional Office,North Country,North Star Health Alliance,988,0,988,823,0,0,744
07/25/2023,000812,Gouverneur Hospital,St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,183,0,183,138,0,0,137
07/25/2023,000817,Clifton-Fine Hospital,St. Lawrence,Central New York Regional Office,North Country,Independent,98,0,97,84,0,0,61
07/25/2023,000818,Saratoga Hospital,Saratoga,Capital District Regional Office,Capital Region,Albany Medical Center,3287,11,3231,2478,9,4,2016
07/25/2023,001738,Richmond University Medical Center,Richmond,Metropolitan Area Regional Office,New York City,Independent,2769,4,2764,1881,0,0,1917
07/25/2023,003058,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,6036,7,6019,4791,11,9,3584
07/25/2023,001437,New York-Presbyterian/Lower Manhattan Hospital,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,1412,10,1281,1008,10,6,1068
07/25/2023,001447,Hospital for Special Surgery,New York,Metropolitan Area Regional Office,New York City,Independent,5226,0,5203,4599,11,9,4129
07/25/2023,001454,Metropolitan Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,3116,64,2948,1201,1,1,2373
07/25/2023,001456,Mount Sinai Hospital,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,30291,10,30111,23788,5,3,19248
07/25/2023,001288,Brooklyn Hospital Center - Downtown Campus,Kings,Metropolitan Area Regional Office,New York City,Independent,3038,1,3035,1634,0,0,1949
07/25/2023,001309,Interfaith Medical Center,Kings,Metropolitan Area Regional Office,New York City,One Brooklyn Health System,1866,7,1857,927,2,0,1335
07/25/2023,000678,F.F. Thompson Hospital,Ontario,Western Regional Office,Finger Lakes,University of Rochester Medical Center,1595,2,1580,1209,0,0,1595
07/25/2023,000694,St Luke's Cornwall Hospital/Newburgh,Orange,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1835,0,1825,1298,2,2,1480
07/25/2023,000752,Putnam Hospital Center,Putnam,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,1061,0,1056,552,1,1,868
07/25/2023,000775,Helen Hayes Hospital,Rockland,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,740,1,735,602,0,0,455
07/25/2023,000412,The Unity Hospital of Rochester - St. Mary's Campus,Monroe,Western Regional Office,Finger Lakes,Rochester Regional Health System,50,1,49,31,0,0,50
07/25/2023,000413,Strong Memorial Hospital,Monroe,Western Regional Office,Finger Lakes,University of Rochester Medical Center,19289,23,19197,15050,22,18,15700
07/25/2023,000098,"Brooks-TLC Hospital System, Inc.",Chautauqua,Western Regional Office,Western New York,Independent,538,1,529,432,0,0,376
07/25/2023,000118,St. Joseph's Hospital,Chemung,Western Regional Office,Southern Tier,Arnot Health,178,0,176,112,0,0,141
07/25/2023,000925,Good Samaritan Hospital Medical Center,Suffolk,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,4036,2,3969,2285,2,2,2753
07/25/2023,000039,Memorial Hosp of Wm F and Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Western New York,University of Rochester Medical Center,473,0,473,350,0,0,375
07/25/2023,001453,Memorial Hospital for Cancer and Allied Diseases,New York,Metropolitan Area Regional Office,New York City,Independent,21461,6,21433,20745,23,9,8962
07/25/2023,001306,NewYork-Presbyterian Brooklyn Methodist Hospital,Kings,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,5141,45,4837,3476,27,16,3823
07/25/2023,001117,Northern Westchester Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1552,1,1546,1282,1,1,885
07/25/2023,001139,Westchester Medical Center,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,6342,0,6327,4854,6,5,3809
07/25/2023,000628,UPSTATE University Hospital at Community General,Onondaga,Central New York Regional Office,Central New York,Independent,1551,2,1535,1220,3,3,1495
07/25/2023,000630,St. Joseph's Hospital Health Center,Onondaga,Central New York Regional Office,Central New York,Trinity,3903,1,3891,2295,0,35,2860
07/25/2023,000393,Nicholas H. Noyes Memorial Hospital,Livingston,Western Regional Office,Finger Lakes,University of Rochester Medical Center,518,0,518,393,0,0,518
07/25/2023,000181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,2673,0,2667,1947,7,7,2326
07/25/2023,000192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,1205,0,1200,968,2,2,1036
07/25/2023,000245,University Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,10960,64,10456,7338,14,7,5764
07/25/2023,000135,The University of Vermont Health Network - Champlain Valley Physicians Hospital,Clinton,Capital District Regional Office,North Country,University of Vermont Health Network,2108,1,2098,1725,5,5,1771
07/25/2023,000885,Long Island Community Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Independent,2251,1,2230,1648,0,0,1374
07/25/2023,000895,John T Mather Memorial Hospital of Port Jefferson New York Inc,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,2123,1,2110,1575,0,0,1253
07/25/2023,000924,Southside Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,2725,5,2711,1795,2,0,1739
07/25/2023,009700,Lenox Health Greenwich Village,New York,Metropolitan Area Regional Office,New York City,Northwell Health,190,0,188,143,0,0,95
07/25/2023,010216,Cobleskill Regional Hospital,Schoharie,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,191,0,191,167,0,0,137
07/25/2023,001637,NewYork-Presbyterian/Queens,Queens,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,5305,49,4994,3625,31,16,3980
07/25/2023,001439,Mount Sinai Beth Israel,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,5247,2,5235,3918,3,1,3192
07/25/2023,001445,Harlem Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,3347,69,3222,1169,1,1,2535
07/25/2023,001463,NYU Langone Hospitals,New York,Metropolitan Area Regional Office,New York City,NYU Langone Health,17152,31,17022,14502,5,4,12661
07/25/2023,001626,Elmhurst Hospital Center,Queens,Metropolitan Area Regional Office,New York City,NYC H+H,6426,114,6015,1505,4,2,4927
07/25/2023,001158,Soldiers and Sailors Memorial Hospital of Yates County Inc,Yates,Western Regional Office,Finger Lakes,Finger Lakes Health,221,0,221,210,0,0,213
07/25/2023,001176,SBH Health System,Bronx,Metropolitan Area Regional Office,New York City,Independent,3178,0,3178,1905,1,1,2623
07/25/2023,001301,Kings County Hospital Center,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,7132,107,6783,1453,2,2,5692
07/25/2023,001045,White Plains Hospital Center,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,5315,0,5313,3568,18,11,3429
07/25/2023,000397,Oneida Health Hospital,Madison,Central New York Regional Office,Central New York,Independent,564,0,564,447,3,3,480
07/25/2023,000401,Community Memorial Hospital Inc,Madison,Central New York Regional Office,Central New York,Crouse Health,537,5,503,396,0,7,449
07/25/2023,000471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Finger Lakes,Rochester Regional Health System,4556,46,4500,3171,0,0,3425
07/25/2023,000541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,6224,9,6170,4427,4,2,4360
07/25/2023,000213,Mercy Hospital of Buffalo,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",2670,9,2634,1364,0,0,2156
07/25/2023,000379,Carthage Area Hospital Inc,Jefferson,Central New York Regional Office,North Country,Independent,511,0,509,499,3,0,401
07/25/2023,000165,O'Connor Hospital,Delaware,Capital District Regional Office,Southern Tier,Bassett Healthcare Network,141,1,140,106,0,0,100
07/25/2023,000873,Ira Davenport Memorial Hospital,Steuben,Western Regional Office,Southern Tier,Arnot Health,99,0,98,66,0,0,78
07/25/2023,000066,Olean General Hospital,Cattaraugus,Western Regional Office,Western New York,Kaleida Health,1145,15,1110,489,2,2,1015
07/25/2023,001315,Kingsbrook Jewish Medical Center,Kings,Metropolitan Area Regional Office,New York City,One Brooklyn Health System,684,8,672,414,2,1,288
07/25/2023,001438,Bellevue Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,10445,76,10102,2091,2,2,8444
07/25/2023,001165,Jacobi Medical Center,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,6227,124,5724,1744,3,3,4981
07/25/2023,001169,Montefiore Medical Center - Henry and Lucy Moses Div,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,10059,12,10031,7985,18,15,5975
07/25/2023,001286,Brookdale Hospital Medical Center,Kings,Metropolitan Area Regional Office,New York City,One Brooklyn Health System,3504,0,3495,1532,0,0,2156
07/25/2023,001098,St. Joseph's Medical Center,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Independent,952,0,947,689,1,1,640
07/25/2023,000303,The University of Vermont Health Network - Elizabethtown Community Hospital,Essex,Capital District Regional Office,North Country,The University of Vermont Health Network,273,0,272,260,0,0,208
07/25/2023,000340,United Memorial Medical Center Bank Street Campus,Genesee,Western Regional Office,Finger Lakes,Rochester Regional Health System,94,0,93,60,0,0,77
07/25/2023,000362,Little Falls Hospital,Herkimer,Central New York Regional Office,Mohawk Valley,Bassett Healthcare Network,222,0,222,183,0,0,203
07/25/2023,000383,Lewis County General Hospital,Lewis,Central New York Regional Office,North Country,Independent,548,0,547,436,0,0,347
07/25/2023,000158,Guthrie Cortland Medical Center,Cortland,Central New York Regional Office,Central New York,The Guthrie Clinic,640,3,620,500,2,2,450
07/25/2023,000896,St. Charles Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,2420,1,2371,1595,0,0,1879
07/25/2023,000938,Peconic Bay Medical Center,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,1161,1,1156,889,1,1,684
07/25/2023,000085,Auburn Community Hospital,Cayuga,Central New York Regional Office,Central New York,Independent,1416,0,1396,1060,4,3,765
07/25/2023,000103,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Western New York,UPMC,901,13,866,603,0,0,636
07/25/2023,001635,St Johns Episcopal Hospital So Shore,Queens,Metropolitan Area Regional Office,New York City,Independent,1762,0,1759,1208,0,0,824
07/25/2023,001466,Mount Sinai West,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,3558,0,3557,2545,1,1,2494
07/25/2023,001178,BronxCare Hospital Center,Bronx,Metropolitan Area Regional Office,New York City,Independent,4620,2,4609,3684,10,6,2747
07/25/2023,001186,North Central Bronx Hospital,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,1578,23,1545,363,1,1,1153
07/25/2023,001293,"New York Community Hospital of Brooklyn, Inc",Kings,Metropolitan Area Regional Office,New York City,Independent,735,0,712,144,0,0,450
07/25/2023,001305,Maimonides Medical Center,Kings,Metropolitan Area Regional Office,New York City,Independent,6735,4,6723,4893,0,0,4377
07/25/2023,001153,Wyoming County Community Hospital,Wyoming,Western Regional Office,Finger Lakes,Independent,632,12,620,508,0,0,376
07/25/2023,000699,Orange Regional Medical Center,Orange,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,3549,0,3548,2688,6,4,2839
07/25/2023,000746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,3297,6,3283,2599,2,1,2780
07/25/2023,001028,Newark-Wayne Community Hospital,Wayne,Western Regional Office,Finger Lakes,Rochester Regional Health System,777,2,771,559,0,0,655
07/25/2023,000563,St Francis Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,3512,0,3494,2548,4,4,3091
07/25/2023,000635,University Hospital SUNY Health Science Center,Onondaga,Central New York Regional Office,Central New York,Independent,9190,16,9074,7398,5,2,7869
07/25/2023,000676,Clifton Springs Hospital and Clinic,Ontario,Western Regional Office,Finger Lakes,Rochester Regional Health System,662,6,654,456,0,0,532
07/25/2023,000180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,1399,0,1392,1081,6,5,979
07/25/2023,000207,Buffalo General Medical Center,Erie,Western Regional Office,Western New York,Kaleida Health,3757,29,3717,1827,0,0,1671
07/25/2023,000858,Schuyler Hospital,Schuyler,Western Regional Office,Southern Tier,Cayuga Health System,299,1,293,213,1,0,153
07/25/2023,000866,Corning Hospital,Steuben,Western Regional Office,Southern Tier,The Guthrie Clinic,724,0,713,530,0,0,545
07/25/2023,001737,Staten Island University Hosp-South,Richmond,Metropolitan Area Regional Office,New York City,Northwell Health,944,0,943,547,0,0,616
07/25/2023,001740,Staten Island University Hosp-North,Richmond,Metropolitan Area Regional Office,New York City,Northwell Health,4837,5,4794,3071,0,0,2855
07/25/2023,009753,NYU Langone Health-Cobble Hill,Kings,Metropolitan Area Regional Office,New York City,NYU Langone Health,130,0,130,100,0,0,130
07/25/2023,000776,Montefiore Nyack,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1709,95,1614,362,0,0,1709
07/25/2023,000815,Canton-Potsdam Hospital,St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,1295,0,1295,1044,0,0,908
07/25/2023,001630,Long Island Jewish Medical Center,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,8590,7,8520,6330,7,4,5495
07/25/2023,001324,Mount Sinai Brooklyn,Kings,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,1087,0,1086,730,0,0,876
07/25/2023,001061,Montefiore Mount Vernon Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,497,0,484,348,0,0,352
07/25/2023,001072,Montefiore New Rochelle Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1044,0,1029,808,2,0,672
07/25/2023,001185,Montefiore Medical Center - Montefiore Westchester Square,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,1005,1,1003,799,2,2,597
07/25/2023,000708,Bon Secours Community Hospital,Orange,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,598,0,595,285,1,0,346
07/25/2023,000739,A.O. Fox Memorial Hospital,Otsego,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,564,0,564,429,0,0,387
07/25/2023,000565,Eastern Niagara Hospital - Lockport Division,Niagara,Western Regional Office,Western New York,Independent,0,0,0,0,0,0,0
07/25/2023,000574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Western New York,Independent,1098,0,1096,849,0,0,730
07/25/2023,000589,"Rome Memorial Hospital, Inc",Oneida,Central New York Regional Office,Mohawk Valley,St. Josephs Hospital Syracuse NY,1393,10,1372,1259,0,0,861
07/25/2023,000671,Geneva General Hospital,Ontario,Western Regional Office,Finger Lakes,Finger Lakes Health,692,0,692,586,0,0,602
07/25/2023,000482,St. Mary's Healthcare - Amsterdam Memorial Campus,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,229,0,229,187,0,0,148
07/25/2023,000511,NYU Winthrop Hospital,Nassau,Metropolitan Area Regional Office,Long Island,NYU Langone Health,10331,45,10218,8224,1,0,6741
07/25/2023,000527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Long Island,Mount Sinai Health System,5128,1,5126,2330,1,1,3874
07/25/2023,000550,Syosset Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,627,0,625,461,0,0,366
07/25/2023,000267,Kenmore Mercy Hospital,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",1350,5,1338,724,0,0,1087
07/25/2023,003975,New York-Presbyterian Hospital - Allen Hospital,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,1237,9,1167,861,12,6,911
07/25/2023,009691,South Nassau Communities Hospital Off-Campus Emergency Department,Nassau,Metropolitan Area Regional Office,Long Island,Mount Sinai Health System,21,0,21,15,0,0,21
07/25/2023,001628,Flushing Hospital Medical Center,Queens,Metropolitan Area Regional Office,New York City,MediSys Health Network,1857,2,1854,1450,2,2,1096
07/25/2023,001638,Long Island Jewish Forest Hills,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,1447,2,1438,979,0,0,925
07/25/2023,001723,Mercy Hospital - Mercy Hospital Orchard Park Division,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",116,0,114,55,0,0,94
07/25/2023,001458,New York-Presbyterian Hospital - New York Weill Cornell Center,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,16315,109,15573,13271,72,47,9779
07/25/2023,001172,Lincoln Medical and Mental Health Center,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,4805,79,4521,1358,2,2,3476
07/25/2023,001294,Coney Island Hospital,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,3440,94,3232,776,1,1,2543
07/25/2023,001046,Winifred Masterson Burke Rehabilitation Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1008,0,1004,885,0,0,677
